,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cayenne,4.9333,-52.3333,78.1,90,75,3.44,GF,1638237982
1,Hermanus,-34.4187,19.2345,60.91,85,76,9.71,ZA,1638237983
2,Ushuaia,-54.8,-68.3,35.89,77,15,3.06,AR,1638237742
3,Inuvik,68.3499,-133.7218,-35.3,100,51,3.53,CA,1638237983
4,Wajima,37.4,136.9,55.51,53,66,10.67,JP,1638237983
5,Black River,18.0264,-77.8487,77.99,78,100,5.82,JM,1638237984
6,Fort Nelson,58.8053,-122.7002,7.43,97,100,1.07,CA,1638237921
7,Hobart,-42.8794,147.3294,80.02,32,20,1.99,AU,1638237984
8,Takoradze,4.8845,-1.7554,79.25,86,63,7.72,GH,1638237984
9,Khatanga,71.9667,102.5,-32.48,100,92,2.59,RU,1638237985
10,Mataura,-46.1927,168.8643,62.47,44,90,6.35,NZ,1638237985
11,Olafsvik,64.8945,-23.7142,31.28,92,100,10.65,IS,1638237985
12,Fortuna,40.5982,-124.1573,51.19,68,69,4.45,US,1638237862
13,Vaini,-21.2,-175.2,84.36,58,20,11.5,TO,1638237986
14,Saldanha,-33.0117,17.9442,60.8,86,43,5.12,ZA,1638237986
15,Kampot,10.6167,104.1833,77.05,94,100,11.01,KH,1638237986
16,Port Elizabeth,-33.918,25.5701,63.1,84,35,10.09,ZA,1638237987
17,Arraial do Cabo,-22.9661,-42.0278,74.48,90,5,23.49,BR,1638237987
18,Wattegama,6.7989,81.4808,72.52,90,100,2.8,LK,1638237987
19,Hilo,19.7297,-155.09,78.53,65,75,3.44,US,1638237988
20,Bethel,41.3712,-73.414,34.56,72,1,1.01,US,1638237988
21,Airai,-8.9266,125.4092,74.79,52,62,1.81,TL,1638237988
22,Mergen,49.1833,125.2167,11.75,81,10,3.22,CN,1638237988
23,Mar del Plata,-38.0023,-57.5575,58.87,90,1,11.99,AR,1638237880
24,Upernavik,72.7868,-56.1549,21.49,94,100,3.78,GL,1638237989
25,Beaverlodge,55.2166,-119.4361,30.09,84,100,4.97,CA,1638237989
26,Chokurdakh,70.6333,147.9167,-13.86,99,100,3.65,RU,1638237989
27,Rikitea,-23.1203,-134.9692,76.44,78,5,20.33,PF,1638237990
28,Bluff,-46.6,168.3333,62.8,75,92,6.04,NZ,1638237990
29,Jamestown,42.097,-79.2353,33.39,93,90,6.91,US,1638237955
30,Maragogi,-9.0122,-35.2225,78.33,85,65,9.84,BR,1638237750
31,Saskylakh,71.9167,114.0833,-28.35,100,88,4.14,RU,1638237991
32,Baoding,38.8511,115.4903,38.93,25,0,12.48,CN,1638237991
33,Punta Arenas,-53.15,-70.9167,46.51,71,40,8.05,CL,1638237991
34,Butaritari,3.0707,172.7902,81.32,80,61,10.36,KI,1638237991
35,Hong Kong,22.2855,114.1577,75.18,61,1,5.01,HK,1638237883
36,Siderno,38.2779,16.302,50.77,75,64,25.84,IT,1638237992
37,Qaanaaq,77.484,-69.3632,11.19,61,100,4.41,GL,1638237992
38,Clyde River,70.4692,-68.5914,-0.94,86,100,2.39,CA,1638237992
39,Albany,42.6001,-73.9662,28.22,77,3,7.07,US,1638237993
40,Djibouti,11.5,42.5,71.02,66,7,7.25,DJ,1638237993
41,Nikolskoye,59.7035,30.7861,26.4,95,100,8.25,RU,1638237993
42,Dikson,73.5069,80.5464,-13.0,96,100,14.12,RU,1638237993
43,Lerum,57.7745,12.2697,29.93,94,75,1.99,SE,1638237994
44,Saint Paul Harbor,57.79,-152.4072,35.11,87,90,8.05,US,1638237994
45,Lorengau,-2.0226,147.2712,84.16,75,100,9.13,PG,1638237994
