,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,72.09,36,6,4.76,AU,1638414576
1,Port Alfred,-33.5906,26.891,67.46,92,93,3.11,ZA,1638414576
2,Tahe,52.3333,124.7333,7.74,78,100,7.61,CN,1638414576
3,Qaanaaq,77.484,-69.3632,5.56,68,12,6.89,GL,1638414577
4,Punta Arenas,-53.15,-70.9167,44.71,70,20,9.22,CL,1638414389
5,Bathsheba,13.2167,-59.5167,80.08,78,100,21.27,BB,1638414577
6,Hobart,-42.8794,147.3294,83.26,54,75,1.01,AU,1638414471
7,Acaraú,-2.8856,-40.12,79.72,81,92,11.63,BR,1638414397
8,Jamestown,42.097,-79.2353,38.71,97,90,4.0,US,1638414577
9,Soledad,10.9184,-74.7646,80.73,83,0,16.11,CO,1638414408
10,Katsuura,35.1333,140.3,53.71,35,0,4.79,JP,1638414578
11,Bredasdorp,-34.5322,20.0403,59.67,67,78,9.15,ZA,1638414578
12,Rikitea,-23.1203,-134.9692,76.24,74,2,18.03,PF,1638414578
13,Hilo,19.7297,-155.09,77.29,81,90,0.0,US,1638414579
14,Oberndorf,48.2905,8.5722,40.23,100,100,7.43,DE,1638414579
15,Christchurch,-43.5333,172.6333,67.03,71,90,5.99,NZ,1638414579
16,Faanui,-16.4833,-151.75,79.48,75,100,13.2,PF,1638414579
17,Seminole,28.7086,-81.2081,65.62,90,40,0.0,US,1638414580
18,Atuona,-9.8,-139.0333,78.8,76,63,21.03,PF,1638414316
19,Mataura,-46.1927,168.8643,68.49,42,100,5.5,NZ,1638414580
20,Albany,42.6001,-73.9662,34.81,81,100,4.23,US,1638414447
21,Beringovskiy,63.05,179.3167,-5.19,94,62,9.78,RU,1638414580
22,Bluff,-46.6,168.3333,68.81,76,100,13.15,NZ,1638414581
23,Sault Ste. Marie,46.5168,-84.3333,38.89,81,90,6.91,CA,1638414313
24,Hermanus,-34.4187,19.2345,57.9,73,75,8.01,ZA,1638414581
25,Torbay,47.6666,-52.7314,38.26,89,82,1.01,CA,1638414581
26,Ushuaia,-54.8,-68.3,44.26,70,20,19.57,AR,1638414316
27,Guerrero Negro,27.9769,-114.0611,63.97,83,11,9.37,MX,1638414582
28,Innisfail,-17.5333,146.0333,87.53,62,8,10.4,AU,1638414582
29,Butaritari,3.0707,172.7902,82.27,76,72,11.83,KI,1638414582
30,Cabo San Lucas,22.8909,-109.9124,78.51,64,1,0.0,MX,1638414469
31,Porto-Novo,6.4965,2.6036,78.48,87,95,5.06,BJ,1638414583
32,Bambous Virieux,-20.3428,57.7575,82.22,74,75,6.91,MU,1638414583
33,Norman Wells,65.282,-126.8329,-24.52,97,100,6.4,CA,1638414583
34,Vaini,-21.2,-175.2,84.36,84,20,9.22,TO,1638414583
35,Gravdal,68.1214,13.5031,33.62,58,100,33.11,NO,1638414584
36,Airai,-8.9266,125.4092,79.18,45,47,2.26,TL,1638414584
37,George Town,5.4112,100.3354,79.9,87,40,3.44,MY,1638414307
38,Yar-Sale,66.8333,70.8333,1.76,95,100,14.83,RU,1638414584
39,Kaitangata,-46.2817,169.8464,65.93,78,100,10.89,NZ,1638414399
40,Nikolskoye,59.7035,30.7861,19.29,98,93,3.09,RU,1638414389
41,Vila Velha,-20.3297,-40.2925,76.95,89,75,3.44,BR,1638414585
42,Pangkalanbuun,-2.6833,111.6167,90.23,53,100,2.17,ID,1638414585
43,Cape Town,-33.9258,18.4232,58.26,68,0,11.88,ZA,1638414585
44,Laguna,38.421,-121.4238,64.9,87,1,0.0,US,1638414533
45,Thompson,55.7435,-97.8558,-4.67,93,99,5.37,CA,1638414586
46,Diamantino,-14.4086,-56.4461,74.07,87,98,3.56,BR,1638414586
47,New Norfolk,-42.7826,147.0587,82.9,37,82,1.01,AU,1638414586
48,Geraldton,-28.7667,114.6,75.61,50,0,17.27,AU,1638414587
49,Kavaratti,10.5669,72.642,82.38,77,39,12.37,IN,1638414381
50,Mar del Plata,-38.0023,-57.5575,61.88,88,0,18.99,AR,1638414587
51,Verkh-Usugli,52.7,115.1667,12.81,49,0,9.13,RU,1638414587
52,Mahon,39.8885,4.2658,52.36,93,20,6.91,ES,1638414588
53,Sitka,57.0531,-135.33,35.49,64,90,13.8,US,1638414588
54,Chui,-33.6971,-53.4616,57.79,77,10,5.39,UY,1638414546
55,Warwick,41.7001,-71.4162,40.19,76,75,0.0,US,1638414588
56,Nabire,-3.3667,135.4833,80.74,84,100,0.07,ID,1638414588
57,Rome,43.2128,-75.4557,39.83,80,1,9.22,US,1638414589
58,Cayenne,4.9333,-52.3333,81.09,86,75,4.0,GF,1638414589
59,Castro,-24.7911,-50.0119,62.8,91,49,9.98,BR,1638414589
60,Mahébourg,-20.4081,57.7,82.26,74,75,6.91,MU,1638414590
61,Paamiut,61.994,-49.6678,29.25,95,100,21.7,GL,1638414590
62,Nema,57.5067,50.5011,24.71,90,96,9.91,RU,1638414590
63,Lata,40.1629,-8.3327,52.92,90,100,12.01,PT,1638414591
64,Lebu,-37.6167,-73.65,53.35,92,100,11.54,CL,1638414591
65,Safaga,26.7292,33.9365,66.24,67,52,18.59,EG,1638414591
66,Upernavik,72.7868,-56.1549,27.43,97,100,6.49,GL,1638414591
67,Penzance,50.1186,-5.5371,45.61,71,71,22.91,GB,1638414592
68,Saint Paul Harbor,57.79,-152.4072,17.11,79,90,36.82,US,1638414398
69,Dhidhdhoo,6.8833,73.1,81.91,76,35,8.57,MV,1638414592
70,Clyde River,70.4692,-68.5914,7.03,85,100,18.41,CA,1638414592
71,Aswān,24.0934,32.907,62.06,55,50,12.91,EG,1638414593
72,La Ronge,55.1001,-105.2842,12.13,95,99,2.75,CA,1638414593
73,Lüderitz,-26.6481,15.1594,58.84,70,0,16.89,NA,1638414593
74,Inuvik,68.3499,-133.7218,-15.36,99,100,5.55,CA,1638414593
75,Pundaguitan,6.3711,126.1689,83.14,73,100,4.83,PH,1638414594
76,Río Gallegos,-51.6226,-69.2181,46.45,46,0,11.5,AR,1638414554
77,Soma,39.1855,27.6094,38.61,82,0,3.62,TR,1638414594
